"ID";"IDIOMA";"REFRAN"
213;"FRANCES";"C’est folie de faire un maillet de son poing."
214;"FRANCES";"C’est la cour du roi Petaud, chacun y est maître."
215;"FRANCES";"C’est la maîtresse-roue qui fait tourner le moulin."
216;"FRANCES";"C’est le chien de Jean de Nivelle, il s’enfuit quand on l’appelle."
217;"FRANCES";"C’est le ton qui fait la musique."
218;"FRANCES";"C’est le valet du diable, il fait plus qu’on ne lui commande."
219;"FRANCES";"C’est partout comme chez nous."
220;"FRANCES";"C’est peu que de courir, il faut partir à point."
221;"FRANCES";"C’est quand l’enfant est baptisé qu’il arrive des parrains."
222;"FRANCES";"C’est toujours la plus mauvaise roue qui crie."
223;"FRANCES";"C’est trop aimer quand on en meurt."
224;"FRANCES";"C’est un cheval à quatre pieds blancs."
225;"FRANCES";"C’est un long jour qu’un jour sans pain."
226;"FRANCES";"Chacun à son goût."
227;"FRANCES";"Chacun a un fou dans sa manche."
228;"FRANCES";"Chacun chien qui aboye ne mord pas."
229;"FRANCES";"Chacun dit: J’ai bon droit."
230;"FRANCES";"Chacun doit balayer devant sa porte."
231;"FRANCES";"Chacun le sien, ce n’est pas trop."
232;"FRANCES";"Chacun n’est pas aise qui danse."
233;"FRANCES";"Chacun porte sa croix."
234;"FRANCES";"Chacun pour soi et Dieu pour tous."
235;"FRANCES";"Chacun prêche pour son saint."
236;"FRANCES";"Chacun prend son plaisir où il le trouve."
237;"FRANCES";"Chacun se fait fouetter à sa guise."
238;"FRANCES";"Chacun sent le mieux où le soulier le blesse."
239;"FRANCES";"Chacun son métier, et les vaches seront bien gardées."
240;"FRANCES";"Chacun tire l’eau à son moulin."
241;"FRANCES";"Chacun vaut son prix."
242;"FRANCES";"Changer son cheval borgne contre un aveugle."
243;"FRANCES";"Chaque demain apporte son pain."
244;"FRANCES";"Chaque potier vante son pot."
245;"FRANCES";"Chaque médaille a son revers."
246;"FRANCES";"Charbonnier est maître chez soi."
247;"FRANCES";"Charité bien ordonnée commence par soi-même."
248;"FRANCES";"Château abattu est moitié refait."
249;"FRANCES";"Chat échaudé craint l’eau froide."
250;"FRANCES";"Chercher midi à quatorze heures."
251;"FRANCES";"Chercher une aiguille dans une botte de foin."
252;"FRANCES";"Cherté foisonne."
253;"FRANCES";"Cheval rogneux n’a cure qu’on l’étrille."
254;"FRANCES";"Chien affamé, de bastonnade n’est intimidé."
255;"FRANCES";"Chien enragé ne peut longuement vivre."
256;"FRANCES";"Chien hargneux a toujours l’oreille déchirée."
257;"FRANCES";"Chien qui aboie ne mord pas."
258;"FRANCES";"Chien sur son fumier est hardi."
259;"FRANCES";"Chose perdue, chose connue."
260;"FRANCES";"Choses promises sont choses dues."
261;"FRANCES";"Chose trop vue n’est chère tenue."
262;"FRANCES";"Chou pour chou."
263;"FRANCES";"Comme on fait son lit on se couche."
264;"FRANCES";"Communautés commencent par bâtir leur cuisine."
265;"FRANCES";"Compagnon bien parlant vaut en chemin chariot branlant."
266;"FRANCES";"Comparaison n’est pas raison."
267;"FRANCES";"Comparaisons sont odieuses."
268;"FRANCES";"Contre coignée serrure ne peut."
269;"FRANCES";"Couard souvent coup mortel au preux donne."
270;"FRANCES";"Coudre la peau du renard à celle du lion."
271;"FRANCES";"Courte messe et long dîner."
272;"FRANCES";"Courtoisie qui ne vient que d’un côté ne peut longuement durer."
273;"FRANCES";"Craignez la colère de la colombe."
274;"FRANCES";"Crier famine sur un tas de bled."
275;"FRANCES";"Croyez cela et buvez de l’eau."
276;"FRANCES";"Dans la nuit tous chats sont gris."
277;"FRANCES";"Débander l’arc ne guérit pas la plaie."
278;"FRANCES";"De court plaisir long repentir."
279;"FRANCES";"Découvrir saint Pierre pour couvrir saint Paul."
280;"FRANCES";"De demain à demain le temps s’en va bien loin."
281;"FRANCES";"De deux maux il faut choisir le moindre."
282;"FRANCES";"De deux regardeurs il y en a toujours un qui devient joueur."
283;"FRANCES";"De fol juge brève sentence."
284;"FRANCES";"De grande montée, grande chute."
285;"FRANCES";"De gerbe remuée chet le grain."
286;"FRANCES";"De jeune angelot vieux diable."
287;"FRANCES";"De maigre poil âpre morsure."
288;"FRANCES";"Demander de la laine à un âne."
289;"FRANCES";"Demandez-le à mon compagnon, qui est aussi menteur que moi."
290;"FRANCES";"Deniers avancent les bediers."
291;"FRANCES";"De oui et non vient toute question."
292;"FRANCES";"Dépends le pendard et il te pendra."
293;"FRANCES";"De peu de drap courte cape."
294;"FRANCES";"De qui je me fie Dieu me garde."
295;"FRANCES";"Derrière la croix souvent se tient le diable."
296;"FRANCES";"De toute taille bon chien."
297;"FRANCES";"De tout s’avise à qui pain faut."
298;"FRANCES";"Deux hommes se rencontrent bien, mais jamais deux montagnes."
299;"FRANCES";"Deux moineaux sur même épi ne sont pas long-temps unis."
